experiment,backend,variant,samples,input_size,hidden_size,output_size,epochs,batch_size,num_threads,num_ranks,tile_size,repetition,warmup_reps,t_train,t_loss_eval,t_total,final_loss,updates_per_epoch,global_batch_size,last_global_batch_size
exp1_seq_canonical,seq,seq,5000,1024,1536,10,20,64,1,1,0,1,2,85.316548241,2.379011871,87.695560113,0.499999970,79,64,8
exp1_seq_canonical,seq,seq,5000,1024,1536,10,20,64,1,1,0,2,2,87.476126660,2.380360588,89.856487248,0.499999970,79,64,8
exp1_seq_canonical,seq,seq,5000,1024,1536,10,20,64,1,1,0,3,2,87.947670721,2.377154790,90.324825510,0.499999970,79,64,8
exp1_seq_canonical,seq,seq,5000,1024,1536,10,20,64,1,1,0,4,2,87.423203517,2.381368967,89.804572484,0.499999970,79,64,8
exp1_seq_canonical,seq,seq,5000,1024,1536,10,20,64,1,1,0,5,2,78.889778430,2.154965222,81.044743652,0.499999970,79,64,8
exp1_seq_canonical,seq,naive,5000,1024,1536,10,20,64,1,1,0,1,2,241.046694530,2.162039619,243.208734149,0.499999970,79,64,8
exp1_seq_canonical,seq,naive,5000,1024,1536,10,20,64,1,1,0,2,2,246.334841007,2.799217792,249.134058800,0.499999970,79,64,8
exp1_seq_canonical,seq,naive,5000,1024,1536,10,20,64,1,1,0,3,2,269.183727805,2.811834505,271.995562309,0.499999970,79,64,8
exp1_seq_canonical,seq,naive,5000,1024,1536,10,20,64,1,1,0,4,2,269.596511574,2.845868511,272.442380086,0.499999970,79,64,8
exp1_seq_canonical,seq,naive,5000,1024,1536,10,20,64,1,1,0,5,2,271.090754310,2.836523268,273.927277578,0.499999970,79,64,8
exp1_seq_large_input,seq,seq,500,178608,448,10,10,256,1,1,0,1,2,275.206192428,16.237718429,291.443910858,0.490550458,2,256,244
exp1_seq_large_input,seq,seq,500,178608,448,10,10,256,1,1,0,2,2,277.601175647,22.265175097,299.866350744,0.490550458,2,256,244
exp1_seq_large_input,seq,seq,500,178608,448,10,10,256,1,1,0,3,2,372.575126546,22.349302249,394.924428795,0.490550458,2,256,244
exp1_seq_large_input,seq,seq,500,178608,448,10,10,256,1,1,0,4,2,372.427919379,22.393123899,394.821043277,0.490550458,2,256,244
exp1_seq_large_input,seq,seq,500,178608,448,10,10,256,1,1,0,5,2,371.809172589,22.352175679,394.161348268,0.490550458,2,256,244
exp1_seq_large_input,seq,naive,500,178608,448,10,10,256,1,1,0,1,2,881.203916263,17.021221591,898.225137854,0.490550458,2,256,244
exp1_seq_large_input,seq,naive,500,178608,448,10,10,256,1,1,0,2,2,850.658616494,25.883402288,876.542018782,0.490550458,2,256,244
exp1_seq_large_input,seq,naive,500,178608,448,10,10,256,1,1,0,3,2,1177.532468567,25.797930971,1203.330399537,0.490550458,2,256,244
exp1_seq_large_input,seq,naive,500,178608,448,10,10,256,1,1,0,4,2,1157.772077065,24.881622246,1182.653699310,0.490550458,2,256,244
exp1_seq_large_input,seq,naive,500,178608,448,10,10,256,1,1,0,5,2,1114.348869449,25.373978585,1139.722848034,0.490550458,2,256,244
