experiment,backend,variant,samples,input_size,hidden_size,output_size,epochs,batch_size,num_threads,num_ranks,tile_size,repetition,warmup_reps,t_train,t_loss_eval,t_total,final_loss,updates_per_epoch,global_batch_size,last_global_batch_size
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,1,1,0,1,2,49.236348822,1.539537945,50.775886767,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,1,1,0,2,2,49.270950083,1.538095232,50.809045315,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,1,1,0,3,2,49.152506432,1.437604203,50.590110634,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,1,1,0,4,2,49.004285065,1.432459813,50.436744878,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,1,1,0,5,2,49.025499245,1.431866086,50.457365331,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,2,1,0,1,2,25.427136609,1.477086504,26.904223113,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,2,1,0,2,2,25.307087091,1.433186848,26.740273939,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,2,1,0,3,2,25.290150695,1.416232217,26.706382912,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,2,1,0,4,2,25.198765592,1.427685492,26.626451083,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,2,1,0,5,2,25.472870398,1.418225595,26.891095993,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,4,1,0,1,2,13.755070205,1.412836421,15.167906626,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,4,1,0,2,2,13.725876410,1.439870346,15.165746756,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,4,1,0,3,2,13.778380547,1.405136402,15.183516948,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,4,1,0,4,2,13.756690458,1.431803247,15.188493705,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,4,1,0,5,2,13.702608936,1.417469292,15.120078227,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,8,1,0,1,2,7.490425954,1.438089760,8.928515714,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,8,1,0,2,2,7.485091946,1.443635471,8.928727417,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,8,1,0,3,2,7.463700495,1.449283754,8.912984248,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,8,1,0,4,2,7.458845754,1.431071954,8.889917708,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,8,1,0,5,2,7.440922017,1.465615310,8.906537327,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,16,1,0,1,2,6.110578598,1.430838104,7.541416702,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,16,1,0,2,2,6.061699824,1.406110266,7.467810091,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,16,1,0,3,2,6.089160603,1.404632090,7.493792693,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,16,1,0,4,2,6.090830173,1.434465511,7.525295684,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,16,1,0,5,2,6.093785033,1.441214588,7.534999620,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,32,1,0,1,2,4.634617142,1.487578744,6.122195886,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,32,1,0,2,2,4.648541928,1.506286138,6.154828066,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,32,1,0,3,2,4.644039108,1.471687953,6.115727061,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,32,1,0,4,2,4.647391385,1.431372794,6.078764180,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,32,1,0,5,2,4.647702240,1.459444308,6.107146548,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,64,1,0,1,2,4.956559947,1.428536984,6.385096931,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,64,1,0,2,2,4.946734330,1.419870703,6.366605032,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,64,1,0,3,2,4.946005188,1.427451155,6.373456343,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,64,1,0,4,2,4.963237545,1.425788474,6.389026019,0.499999970,79,64,8
exp2_omp_canonical,omp,omp,5000,1024,1536,10,20,64,64,1,0,5,2,4.953412595,1.509562515,6.462975110,0.499999970,79,64,8
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,1,1,0,1,2,178.090636921,9.821697619,187.912334540,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,1,1,0,2,2,177.341720195,9.798487130,187.140207325,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,1,1,0,3,2,177.036422969,9.805006688,186.841429657,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,1,1,0,4,2,178.908445801,9.838340946,188.746786747,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,1,1,0,5,2,179.088483733,9.878166547,188.966650280,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,2,1,0,1,2,90.870134292,9.918384319,100.788518611,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,2,1,0,2,2,90.831433442,9.890544336,100.721977779,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,2,1,0,3,2,90.975342233,9.932951177,100.908293410,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,2,1,0,4,2,90.804876320,9.981860748,100.786737069,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,2,1,0,5,2,90.907012561,9.991780779,100.898793341,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,4,1,0,1,2,51.722910296,9.936816438,61.659726734,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,4,1,0,2,2,51.636043060,9.896734456,61.532777515,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,4,1,0,3,2,51.500791669,9.911429845,61.412221514,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,4,1,0,4,2,51.770916089,9.967051464,61.737967554,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,4,1,0,5,2,51.651644825,9.934040904,61.585685729,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,8,1,0,1,2,30.520147667,9.888111748,40.408259415,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,8,1,0,2,2,30.438172522,9.888754816,40.326927338,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,8,1,0,3,2,30.415271316,9.936175426,40.351446742,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,8,1,0,4,2,30.477748730,9.890728572,40.368477303,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,8,1,0,5,2,30.423185451,9.972611849,40.395797300,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,16,1,0,1,2,16.839823944,9.955325275,26.795149219,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,16,1,0,2,2,16.800067720,9.968986399,26.769054119,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,16,1,0,3,2,16.838579447,9.903610537,26.742189984,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,16,1,0,4,2,16.851081656,9.886190225,26.737271882,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,16,1,0,5,2,16.835452511,9.938154287,26.773606798,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,32,1,0,1,2,9.409330233,9.897495400,19.306825633,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,32,1,0,2,2,9.382872011,9.945940183,19.328812194,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,32,1,0,3,2,9.407968679,9.902267362,19.310236041,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,32,1,0,4,2,9.403833334,9.936422003,19.340255338,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,32,1,0,5,2,9.403706221,9.877914666,19.281620887,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,64,1,0,1,2,7.282501045,9.886262769,17.168763814,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,64,1,0,2,2,7.292175679,9.844830845,17.137006523,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,64,1,0,3,2,7.264420776,9.875532514,17.139953290,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,64,1,0,4,2,7.305138029,9.982210521,17.287348550,0.490550458,2,256,244
exp2_omp_large_input,omp,omp,500,178608,448,10,10,256,64,1,0,5,2,7.288841813,9.955290744,17.244132557,0.490550458,2,256,244
