experiment,backend,variant,samples,input_size,hidden_size,output_size,epochs,batch_size,num_threads,num_ranks,tile_size,repetition,warmup_reps,t_train,t_loss_eval,t_total,final_loss,updates_per_epoch,global_batch_size,last_global_batch_size
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,1,64,1,2,73.637653692,2.016967917,75.654621609,0.499999940,79,64,8
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,1,64,2,2,73.717261618,1.997982555,75.715244173,0.499999940,79,64,8
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,1,64,3,2,73.690280660,1.995706958,75.685987618,0.499999940,79,64,8
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,1,64,4,2,73.682871866,1.995958028,75.678829894,0.499999940,79,64,8
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,1,64,5,2,73.683228597,1.995703216,75.678931813,0.499999940,79,64,8
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,2,64,1,2,40.848905304,1.012594008,41.861499312,0.499999940,40,128,8
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,2,64,2,2,40.787980588,1.010400481,41.798381069,0.499999940,40,128,8
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,2,64,3,2,40.860133184,1.008995869,41.869129053,0.499999940,40,128,8
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,2,64,4,2,40.832421622,1.011825925,41.844247547,0.499999940,40,128,8
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,2,64,5,2,40.783821532,1.005306141,41.789127673,0.499999940,40,128,8
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,4,64,1,2,23.601975030,0.569832400,24.171807430,0.499999940,20,256,136
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,4,64,2,2,23.628566275,0.566442818,24.195009093,0.499999940,20,256,136
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,4,64,3,2,23.578387032,0.566246305,24.144633337,0.499999940,20,256,136
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,4,64,4,2,23.593552027,0.565695231,24.159247258,0.499999940,20,256,136
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,4,64,5,2,23.565627043,0.565039595,24.130666638,0.499999940,20,256,136
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,8,64,1,2,12.948034117,0.313071635,13.261105752,0.499999940,10,512,392
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,8,64,2,2,12.929017883,0.324353229,13.253371112,0.499999940,10,512,392
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,8,64,3,2,12.931629506,0.318399707,13.250029213,0.499999940,10,512,392
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,8,64,4,2,12.961144364,0.319233575,13.280377939,0.499999940,10,512,392
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,8,64,5,2,12.950674419,0.319175932,13.269850351,0.499999940,10,512,392
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,16,64,1,2,8.073434827,0.176281393,8.249716220,0.500000000,5,1024,904
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,16,64,2,2,8.032431371,0.172891374,8.205322745,0.500000000,5,1024,904
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,16,64,3,2,8.026093894,0.174539285,8.200633179,0.500000000,5,1024,904
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,16,64,4,2,7.961470487,0.177967326,8.139437813,0.500000000,5,1024,904
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,16,64,5,2,8.023844754,0.173160058,8.197004812,0.500000000,5,1024,904
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,32,64,1,2,5.871408585,0.120166201,5.991574786,0.500000000,3,2048,904
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,32,64,2,2,5.897863338,0.119133141,6.016996479,0.500000000,3,2048,904
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,32,64,3,2,5.880992810,0.120678362,6.001671172,0.500000000,3,2048,904
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,32,64,4,2,5.957532164,0.120611906,6.078144070,0.500000000,3,2048,904
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,32,64,5,2,5.958388416,0.120776531,6.079164947,0.500000000,3,2048,904
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,64,64,1,2,3.622290238,0.078918742,3.701208980,0.500000000,2,4096,904
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,64,64,2,2,3.536611912,0.098341699,3.634953611,0.500000000,2,4096,904
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,64,64,3,2,3.585971684,0.095010449,3.680982133,0.500000000,2,4096,904
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,64,64,4,2,3.591020010,0.091838234,3.682858244,0.500000000,2,4096,904
exp3_mpi_strong,mpi,mpi,5000,1024,1536,10,20,64,1,64,64,5,2,3.552077053,0.095202796,3.647279849,0.500000000,2,4096,904
