experiment,backend,variant,samples,input_size,hidden_size,output_size,epochs,batch_size,num_threads,num_ranks,tile_size,repetition,warmup_reps,t_train,t_loss_eval,t_total,final_loss,updates_per_epoch,global_batch_size,last_global_batch_size
exp4_omp_weak,omp,omp,5000,1024,128,10,20,64,1,1,0,1,2,5.839720774,0.135355512,5.975076286,0.499428481,79,64,8
exp4_omp_weak,omp,omp,5000,1024,128,10,20,64,1,1,0,2,2,5.759788144,0.135110971,5.894899115,0.499428481,79,64,8
exp4_omp_weak,omp,omp,5000,1024,128,10,20,64,1,1,0,3,2,5.757996863,0.134594471,5.892591334,0.499428481,79,64,8
exp4_omp_weak,omp,omp,5000,1024,128,10,20,64,1,1,0,4,2,5.764444029,0.135326804,5.899770833,0.499428481,79,64,8
exp4_omp_weak,omp,omp,5000,1024,128,10,20,64,1,1,0,5,2,5.779039084,0.135493530,5.914532614,0.499428481,79,64,8
exp4_omp_weak,omp,omp,5000,1024,256,10,20,64,2,1,0,1,2,24.861704099,0.317089458,25.178793557,0.542736530,79,64,8
exp4_omp_weak,omp,omp,5000,1024,256,10,20,64,2,1,0,2,2,23.448383931,0.316422948,23.764806879,0.542736530,79,64,8
exp4_omp_weak,omp,omp,5000,1024,256,10,20,64,2,1,0,3,2,13.744944246,0.315274032,14.060218277,0.542736530,79,64,8
exp4_omp_weak,omp,omp,5000,1024,256,10,20,64,2,1,0,4,2,13.681352478,0.317952924,13.999305403,0.542736530,79,64,8
exp4_omp_weak,omp,omp,5000,1024,256,10,20,64,2,1,0,5,2,13.712406348,0.315085768,14.027492115,0.542736530,79,64,8
exp4_omp_weak,omp,omp,5000,1024,512,10,20,64,4,1,0,1,2,8.230613545,0.668045950,8.898659495,0.600408256,79,64,8
exp4_omp_weak,omp,omp,5000,1024,512,10,20,64,4,1,0,2,2,8.205549277,0.669305434,8.874854712,0.600408256,79,64,8
exp4_omp_weak,omp,omp,5000,1024,512,10,20,64,4,1,0,3,2,8.289450657,0.669327654,8.958778311,0.600408256,79,64,8
exp4_omp_weak,omp,omp,5000,1024,512,10,20,64,4,1,0,4,2,8.151305044,0.666903811,8.818208855,0.600408256,79,64,8
exp4_omp_weak,omp,omp,5000,1024,512,10,20,64,4,1,0,5,2,8.067986523,0.667010632,8.734997155,0.600408256,79,64,8
exp4_omp_weak,omp,omp,5000,1024,1024,10,20,64,8,1,0,1,2,9.116034742,1.358048645,10.474083386,0.481694967,79,64,8
exp4_omp_weak,omp,omp,5000,1024,1024,10,20,64,8,1,0,2,2,9.148830755,1.359673328,10.508504082,0.481694967,79,64,8
exp4_omp_weak,omp,omp,5000,1024,1024,10,20,64,8,1,0,3,2,9.168443825,1.356174303,10.524618128,0.481694967,79,64,8
exp4_omp_weak,omp,omp,5000,1024,1024,10,20,64,8,1,0,4,2,9.110003647,1.352086756,10.462090404,0.481694967,79,64,8
exp4_omp_weak,omp,omp,5000,1024,1024,10,20,64,8,1,0,5,2,9.109844918,1.344412107,10.454257025,0.481694967,79,64,8
exp4_omp_weak,omp,omp,5000,1024,2048,10,20,64,16,1,0,1,2,11.053551313,2.754500814,13.808052127,0.500000000,79,64,8
exp4_omp_weak,omp,omp,5000,1024,2048,10,20,64,16,1,0,2,2,11.169456249,2.747222050,13.916678299,0.500000000,79,64,8
exp4_omp_weak,omp,omp,5000,1024,2048,10,20,64,16,1,0,3,2,11.170538844,2.747253656,13.917792500,0.500000000,79,64,8
exp4_omp_weak,omp,omp,5000,1024,2048,10,20,64,16,1,0,4,2,11.180562664,2.747785565,13.928348228,0.500000000,79,64,8
exp4_omp_weak,omp,omp,5000,1024,2048,10,20,64,16,1,0,5,2,11.155926767,2.751184937,13.907111703,0.500000000,79,64,8
exp4_omp_weak,omp,omp,5000,1024,4096,10,20,64,32,1,0,1,2,14.188418590,5.642016958,19.830435547,0.500000000,79,64,8
exp4_omp_weak,omp,omp,5000,1024,4096,10,20,64,32,1,0,2,2,14.354938556,5.632555556,19.987494112,0.500000000,79,64,8
exp4_omp_weak,omp,omp,5000,1024,4096,10,20,64,32,1,0,3,2,14.329386288,5.630752235,19.960138523,0.500000000,79,64,8
exp4_omp_weak,omp,omp,5000,1024,4096,10,20,64,32,1,0,4,2,14.343883267,5.634881959,19.978765226,0.500000000,79,64,8
exp4_omp_weak,omp,omp,5000,1024,4096,10,20,64,32,1,0,5,2,14.332516460,5.681921126,20.014437586,0.500000000,79,64,8
exp4_omp_weak,omp,omp,5000,1024,8192,10,20,64,64,1,0,1,2,34.355049492,30.401987050,64.757036542,0.500000000,79,64,8
exp4_omp_weak,omp,omp,5000,1024,8192,10,20,64,64,1,0,2,2,33.658072083,32.227722531,65.885794614,0.500000000,79,64,8
exp4_omp_weak,omp,omp,5000,1024,8192,10,20,64,64,1,0,3,2,33.911333735,34.087323966,67.998657702,0.500000000,79,64,8
exp4_omp_weak,omp,omp,5000,1024,8192,10,20,64,64,1,0,4,2,33.532895640,34.155446232,67.688341873,0.500000000,79,64,8
exp4_omp_weak,omp,omp,5000,1024,8192,10,20,64,64,1,0,5,2,33.661323179,34.868872723,68.530195902,0.500000000,79,64,8
