experiment,backend,variant,samples,input_size,hidden_size,output_size,epochs,batch_size,num_threads,num_ranks,tile_size,repetition,warmup_reps,t_train,t_loss_eval,t_total,final_loss,updates_per_epoch,global_batch_size,last_global_batch_size
exp5_mpi_weak,mpi,mpi,500,1024,1536,10,20,64,1,1,64,1,2,7.445632327,0.207005087,7.652637414,0.499999970,8,64,52
exp5_mpi_weak,mpi,mpi,500,1024,1536,10,20,64,1,1,64,2,2,7.458172920,0.205587527,7.663760447,0.499999970,8,64,52
exp5_mpi_weak,mpi,mpi,500,1024,1536,10,20,64,1,1,64,3,2,7.459839248,0.206122779,7.665962027,0.499999970,8,64,52
exp5_mpi_weak,mpi,mpi,500,1024,1536,10,20,64,1,1,64,4,2,7.459081993,0.205065895,7.664147888,0.499999970,8,64,52
exp5_mpi_weak,mpi,mpi,500,1024,1536,10,20,64,1,1,64,5,2,7.443708180,0.203733878,7.647442058,0.499999970,8,64,52
exp5_mpi_weak,mpi,mpi,1000,1024,1536,10,20,64,1,2,64,1,2,8.299375385,0.213718865,8.513094250,0.500000000,8,128,104
exp5_mpi_weak,mpi,mpi,1000,1024,1536,10,20,64,1,2,64,2,2,8.208254436,0.212436130,8.420690566,0.500000000,8,128,104
exp5_mpi_weak,mpi,mpi,1000,1024,1536,10,20,64,1,2,64,3,2,8.194347633,0.213514071,8.407861704,0.500000000,8,128,104
exp5_mpi_weak,mpi,mpi,1000,1024,1536,10,20,64,1,2,64,4,2,8.201220963,0.214047947,8.415268910,0.500000000,8,128,104
exp5_mpi_weak,mpi,mpi,1000,1024,1536,10,20,64,1,2,64,5,2,8.187641206,0.214211917,8.401853123,0.500000000,8,128,104
exp5_mpi_weak,mpi,mpi,2000,1024,1536,10,20,64,1,4,64,1,2,9.320858316,0.225652948,9.546511264,0.500000000,8,256,208
exp5_mpi_weak,mpi,mpi,2000,1024,1536,10,20,64,1,4,64,2,2,9.341317201,0.225578027,9.566895228,0.500000000,8,256,208
exp5_mpi_weak,mpi,mpi,2000,1024,1536,10,20,64,1,4,64,3,2,9.228197002,0.225586969,9.453783971,0.500000000,8,256,208
exp5_mpi_weak,mpi,mpi,2000,1024,1536,10,20,64,1,4,64,4,2,9.213682091,0.225534197,9.439216288,0.500000000,8,256,208
exp5_mpi_weak,mpi,mpi,2000,1024,1536,10,20,64,1,4,64,5,2,9.327960012,0.224838513,9.552798525,0.500000000,8,256,208
exp5_mpi_weak,mpi,mpi,4000,1024,1536,10,20,64,1,8,64,1,2,10.423681526,0.245291921,10.668973447,0.500000000,8,512,416
exp5_mpi_weak,mpi,mpi,4000,1024,1536,10,20,64,1,8,64,2,2,10.525831352,0.244615815,10.770447167,0.500000000,8,512,416
exp5_mpi_weak,mpi,mpi,4000,1024,1536,10,20,64,1,8,64,3,2,10.505827107,0.243876808,10.749703915,0.500000000,8,512,416
exp5_mpi_weak,mpi,mpi,4000,1024,1536,10,20,64,1,8,64,4,2,10.512436911,0.244110536,10.756547447,0.500000000,8,512,416
exp5_mpi_weak,mpi,mpi,4000,1024,1536,10,20,64,1,8,64,5,2,10.519570695,0.243562398,10.763133093,0.500000000,8,512,416
exp5_mpi_weak,mpi,mpi,8000,1024,1536,10,20,64,1,16,64,1,2,12.721485127,0.282208181,13.003693308,0.500000000,8,1024,832
exp5_mpi_weak,mpi,mpi,8000,1024,1536,10,20,64,1,16,64,2,2,12.826981796,0.286966508,13.113948304,0.500000000,8,1024,832
exp5_mpi_weak,mpi,mpi,8000,1024,1536,10,20,64,1,16,64,3,2,12.743750490,0.284265817,13.028016307,0.500000000,8,1024,832
exp5_mpi_weak,mpi,mpi,8000,1024,1536,10,20,64,1,16,64,4,2,12.709776823,0.282950742,12.992727565,0.500000000,8,1024,832
exp5_mpi_weak,mpi,mpi,8000,1024,1536,10,20,64,1,16,64,5,2,12.775186148,0.283866347,13.059052495,0.500000000,8,1024,832
exp5_mpi_weak,mpi,mpi,16000,1024,1536,10,20,64,1,32,64,1,2,17.297176267,0.341508866,17.638685133,0.500000000,8,2048,1664
exp5_mpi_weak,mpi,mpi,16000,1024,1536,10,20,64,1,32,64,2,2,17.058934471,0.341165913,17.400100384,0.500000000,8,2048,1664
exp5_mpi_weak,mpi,mpi,16000,1024,1536,10,20,64,1,32,64,3,2,16.940637523,0.348745618,17.289383141,0.500000000,8,2048,1664
exp5_mpi_weak,mpi,mpi,16000,1024,1536,10,20,64,1,32,64,4,2,17.013597897,0.341401810,17.354999707,0.500000000,8,2048,1664
exp5_mpi_weak,mpi,mpi,16000,1024,1536,10,20,64,1,32,64,5,2,16.948010492,0.342264243,17.290274735,0.500000000,8,2048,1664
exp5_mpi_weak,mpi,mpi,32000,1024,1536,10,20,64,1,64,64,1,2,18.170902497,0.335386710,18.506289207,0.500000000,8,4096,3328
exp5_mpi_weak,mpi,mpi,32000,1024,1536,10,20,64,1,64,64,2,2,18.335595010,0.336237296,18.671832306,0.500000000,8,4096,3328
exp5_mpi_weak,mpi,mpi,32000,1024,1536,10,20,64,1,64,64,3,2,18.322448354,0.339553119,18.662001473,0.500000000,8,4096,3328
exp5_mpi_weak,mpi,mpi,32000,1024,1536,10,20,64,1,64,64,4,2,18.294039738,0.338503917,18.632543655,0.500000000,8,4096,3328
exp5_mpi_weak,mpi,mpi,32000,1024,1536,10,20,64,1,64,64,5,2,18.240217680,0.352377071,18.592594751,0.500000000,8,4096,3328
