experiment,backend,variant,samples,input_size,hidden_size,output_size,epochs,batch_size,num_threads,num_ranks,tile_size,repetition,warmup_reps,t_train,t_loss_eval,t_total,final_loss,updates_per_epoch,global_batch_size,last_global_batch_size
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,16,1,2,107.052716142,2.022651870,109.075368012,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,16,2,2,107.047385940,2.010365327,109.057751267,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,16,3,2,107.051702323,2.010455713,109.062158036,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,16,4,2,107.061716771,1.998092040,109.059808811,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,16,5,2,107.134645618,1.998405887,109.133051505,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,32,1,2,87.907052438,2.011550905,89.918603343,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,32,2,2,87.952914466,2.010554805,89.963469271,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,32,3,2,87.916539342,1.999047031,89.915586373,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,32,4,2,87.952397354,1.998455992,89.950853346,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,32,5,2,87.907557821,1.997819961,89.905377782,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,64,1,2,73.826078968,2.014133768,75.840212736,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,64,2,2,74.372464759,2.000889928,76.373354687,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,64,3,2,74.385089941,2.012118486,76.397208427,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,64,4,2,74.344488916,2.000478361,76.344967277,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,64,5,2,74.336074607,2.002719718,76.338794325,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,128,1,2,66.567415550,2.013105089,68.580520639,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,128,2,2,67.987538864,2.000785528,69.988324392,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,128,3,2,68.008218298,1.999220532,70.007438830,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,128,4,2,67.985942129,1.998196647,69.984138776,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,128,5,2,67.985258885,1.997408110,69.982666995,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,256,1,2,62.816829545,2.017115032,64.833944577,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,256,2,2,64.700086712,1.997362481,66.697449193,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,256,3,2,64.436167560,1.996395982,66.432563542,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,256,4,2,64.405552352,1.997135444,66.402687796,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,256,5,2,64.400969866,1.995335801,66.396305667,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,512,1,2,71.828047484,2.010150570,73.838198054,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,512,2,2,73.252112450,1.998771596,75.250884046,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,512,3,2,73.276732296,1.997447783,75.274180079,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,512,4,2,73.288377033,2.001113353,75.289490386,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,512,5,2,73.288322913,1.999625174,75.287948087,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,1024,1,2,72.996545563,2.019879185,75.016424748,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,1024,2,2,73.800237386,1.997969120,75.798206506,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,1024,3,2,73.698094092,1.999528639,75.697622731,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,1024,4,2,73.680745229,1.998427753,75.679172982,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,1024,5,2,73.688194279,2.001274656,75.689468935,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,2048,1,2,65.250205336,2.010777938,67.260983274,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,2048,2,2,67.218736902,2.010678608,69.229415510,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,2048,3,2,67.211539129,2.002199285,69.213738414,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,2048,4,2,67.207753323,2.002942860,69.210696183,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,1,2048,5,2,67.226417949,2.002855610,69.229273559,0.499999940,79,64,8
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,16,1,2,10.699874035,0.174490284,10.874364319,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,16,2,2,10.458206754,0.176802772,10.635009526,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,16,3,2,10.761630057,0.179300527,10.940930584,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,16,4,2,10.470539154,0.177257043,10.647796197,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,16,5,2,10.508094808,0.178859308,10.686954116,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,32,1,2,9.516084501,0.182350646,9.698435147,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,32,2,2,9.205239093,0.183985684,9.389224777,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,32,3,2,9.230000160,0.184108333,9.414108493,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,32,4,2,9.262945037,0.183712359,9.446657396,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,32,5,2,9.238092882,0.184996724,9.423089606,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,64,1,2,8.529384245,0.183087857,8.712472102,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,64,2,2,8.362348824,0.186511811,8.548860635,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,64,3,2,8.303699106,0.187229546,8.490928652,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,64,4,2,8.267204315,0.183847459,8.451051774,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,64,5,2,8.297292413,0.186231068,8.483523481,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,128,1,2,7.605914095,0.182225465,7.788139560,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,128,2,2,7.700170583,0.184059744,7.884230327,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,128,3,2,7.690594496,0.183788501,7.874382997,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,128,4,2,7.677785044,0.183718611,7.861503655,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,128,5,2,7.702849936,0.185008270,7.887858206,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,256,1,2,7.306656845,0.180541707,7.487198552,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,256,2,2,7.203497087,0.185291051,7.388788138,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,256,3,2,7.244384813,0.184191639,7.428576452,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,256,4,2,7.258852420,0.183300459,7.442152879,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,256,5,2,7.236474738,0.183059738,7.419534476,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,512,1,2,8.597303076,0.179585663,8.776888739,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,512,2,2,8.552624437,0.179759654,8.732384091,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,512,3,2,8.458718339,0.179018498,8.637736837,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,512,4,2,8.474032049,0.182197075,8.656229124,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,512,5,2,8.507708924,0.181855282,8.689564206,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,1024,1,2,11.757274160,0.180682698,11.937956858,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,1024,2,2,11.646945719,0.181343207,11.828288926,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,1024,3,2,11.640823914,0.179099155,11.819923069,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,1024,4,2,11.619609683,0.179360617,11.798970300,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,1024,5,2,11.617460726,0.180973759,11.798434485,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,2048,1,2,11.496076885,0.180170096,11.676246981,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,2048,2,2,11.391867905,0.180844114,11.572712019,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,2048,3,2,11.379210685,0.181325327,11.560536012,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,2048,4,2,11.322690273,0.178569121,11.501259394,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,16,2048,5,2,11.372779713,0.180744471,11.553524184,0.500000000,5,1024,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,16,1,2,4.471123567,0.075324208,4.546447775,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,16,2,2,4.443670108,0.082523309,4.526193417,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,16,3,2,4.439078603,0.081139751,4.520218354,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,16,4,2,4.406778678,0.082288035,4.489066713,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,16,5,2,4.392600201,0.083927669,4.476527870,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,32,1,2,3.932618771,0.077499504,4.010118275,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,32,2,2,3.994382824,0.087763409,4.082146233,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,32,3,2,3.983950829,0.084964867,4.068915696,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,32,4,2,3.967399953,0.081534993,4.048934946,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,32,5,2,3.951647395,0.083722997,4.035370392,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,64,1,2,3.722603253,0.082690103,3.805293356,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,64,2,2,3.747250386,0.085360550,3.832610936,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,64,3,2,3.729112776,0.082840371,3.811953147,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,64,4,2,3.705718038,0.081395819,3.787113857,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,64,5,2,3.740937197,0.083020557,3.823957754,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,128,1,2,3.445452657,0.076091953,3.521544610,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,128,2,2,3.447146757,0.084598335,3.531745092,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,128,3,2,3.443016697,0.084066076,3.527082773,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,128,4,2,3.399083660,0.083696371,3.482780031,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,128,5,2,3.468571504,0.085775011,3.554346515,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,256,1,2,3.402698190,0.075935906,3.478634096,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,256,2,2,3.414601442,0.081627626,3.496229068,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,256,3,2,3.430457566,0.083039156,3.513496722,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,256,4,2,3.387070838,0.083955646,3.471026484,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,256,5,2,3.406151900,0.082272361,3.488424261,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,512,1,2,3.894078103,0.077952133,3.972030236,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,512,2,2,3.838800676,0.087370284,3.926170960,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,512,3,2,3.878964714,0.084644594,3.963609308,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,512,4,2,3.817326116,0.082732690,3.900058806,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,512,5,2,3.852283988,0.087336444,3.939620432,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,1024,1,2,5.709785356,0.075300174,5.785085530,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,1024,2,2,5.678760172,0.090003681,5.768763853,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,1024,3,2,5.652087102,0.087900262,5.739987364,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,1024,4,2,5.684271902,0.084313006,5.768584908,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,1024,5,2,5.647016909,0.086353391,5.733370300,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,2048,1,2,5.104403573,0.075514963,5.179918536,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,2048,2,2,5.136661127,0.085172119,5.221833246,0.500000000,2,4096,904
exp6_mpi_tile,mpi,mpi,5000,1024,1536,10,20,64,1,64,2048,3,2,5.032565568,0.085049165,5.117614733,0.500000000,2,4096,904
