experiment,backend,variant,samples,input_size,hidden_size,output_size,epochs,batch_size,num_threads,num_ranks,tile_size,repetition,warmup_reps,t_train,t_loss_eval,t_total,final_loss,updates_per_epoch,global_batch_size,last_global_batch_size
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,8,64,1,2,59.571377328,0.759295250,60.330672578,0.499999970,64,128,128
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,8,64,2,2,59.126194350,0.757223446,59.883417796,0.499999970,64,128,128
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,8,64,3,2,59.641166699,0.757807611,60.398974310,0.499999970,64,128,128
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,8,64,4,2,59.141148198,0.756071501,59.897219699,0.499999970,64,128,128
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,8,64,5,2,59.384516659,0.755687371,60.140204030,0.499999970,64,128,128
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,32,64,1,2,39.328113415,0.242215430,39.570328845,0.500000000,16,512,512
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,32,64,2,2,39.001095251,0.241631076,39.242726327,0.500000000,16,512,512
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,32,64,3,2,39.142281312,0.255375477,39.397656789,0.500000000,16,512,512
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,32,64,4,2,38.674671424,0.262470354,38.937141778,0.500000000,16,512,512
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,32,64,5,2,39.213305785,0.285760862,39.499066647,0.500000000,16,512,512
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,64,64,1,2,19.853763952,0.156794844,20.010558796,0.500000000,8,1024,1024
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,64,64,2,2,20.434872644,0.194585870,20.629458514,0.500000000,8,1024,1024
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,64,64,3,2,20.302771159,0.167283946,20.470055105,0.500000000,8,1024,1024
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,64,64,4,2,20.316015585,0.161033920,20.477049505,0.500000000,8,1024,1024
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,16,1,64,64,5,2,20.585839078,0.181769312,20.767608390,0.500000000,8,1024,1024
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,32,1,8,64,1,2,28.982621261,0.530835320,29.513456581,0.500000000,32,256,256
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,32,1,8,64,2,2,29.285709149,0.528805723,29.814514872,0.500000000,32,256,256
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,32,1,8,64,3,2,29.286868530,0.530771639,29.817640169,0.500000000,32,256,256
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,32,1,8,64,4,2,29.714693095,0.520215280,30.234908375,0.500000000,32,256,256
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,32,1,8,64,5,2,29.186052759,0.522229152,29.708281911,0.500000000,32,256,256
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,32,1,32,64,1,2,20.513504108,0.233505027,20.747009135,0.500000000,8,1024,1024
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,32,1,32,64,2,2,20.525785684,0.251340121,20.777125805,0.500000000,8,1024,1024
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,32,1,32,64,3,2,20.614674338,0.268632398,20.883306736,0.500000000,8,1024,1024
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,32,1,32,64,4,2,20.552601380,0.263786868,20.816388248,0.500000000,8,1024,1024
exp7_batch_mpi,mpi,mpi,8192,1024,1536,10,20,32,1,32,64,5,2,20.353701387,0.290644080,20.644345467,0.500000000,8,1024,1024
