experiment,backend,variant,samples,input_size,hidden_size,output_size,epochs,batch_size,num_threads,num_ranks,tile_size,repetition,warmup_reps,t_train,t_loss_eval,t_total,final_loss,updates_per_epoch,global_batch_size,last_global_batch_size
exp7_batch_seq,seq,seq,8192,1024,1536,10,20,16,1,1,0,1,2,176.732905762,3.254833532,179.987739295,0.499999046,512,16,16
exp7_batch_seq,seq,seq,8192,1024,1536,10,20,16,1,1,0,2,2,176.653010508,3.248426344,179.901436852,0.499999046,512,16,16
exp7_batch_seq,seq,seq,8192,1024,1536,10,20,16,1,1,0,3,2,176.589562977,3.248053832,179.837616809,0.499999046,512,16,16
exp7_batch_seq,seq,seq,8192,1024,1536,10,20,16,1,1,0,4,2,176.571709760,3.247976035,179.819685794,0.499999046,512,16,16
exp7_batch_seq,seq,seq,8192,1024,1536,10,20,16,1,1,0,5,2,176.558576118,3.247513747,179.806089865,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,8,1,0,1,2,35.495170925,3.283697985,38.778868910,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,8,1,0,2,2,35.213123742,3.281861430,38.494985173,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,8,1,0,3,2,35.312297599,3.269762529,38.582060128,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,8,1,0,4,2,35.283414356,3.262133559,38.545547916,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,8,1,0,5,2,35.205881454,3.261749212,38.467630666,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,32,1,0,1,2,22.801047729,3.282133484,26.083181214,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,32,1,0,2,2,22.742590036,3.270701366,26.013291402,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,32,1,0,3,2,22.476068305,3.245560341,25.721628645,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,32,1,0,4,2,22.459731048,3.247527197,25.707258245,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,32,1,0,5,2,22.446792701,3.247035401,25.693828102,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,64,1,0,1,2,23.181949683,3.282594146,26.464543829,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,64,1,0,2,2,22.207195668,3.281254973,25.488450641,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,64,1,0,3,2,22.796269298,3.261457779,26.057727076,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,64,1,0,4,2,22.869354960,3.259555489,26.128910448,0.499999046,512,16,16
exp7_batch_omp,omp,omp,8192,1024,1536,10,20,16,64,1,0,5,2,22.874378094,3.261894112,26.136272207,0.499999046,512,16,16
exp7_batch_seq,seq,seq,8192,1024,1536,10,20,32,1,1,0,1,2,136.501256272,3.216327725,139.717583997,0.499999642,256,32,32
exp7_batch_seq,seq,seq,8192,1024,1536,10,20,32,1,1,0,2,2,137.224036083,3.216233211,140.440269293,0.499999642,256,32,32
exp7_batch_seq,seq,seq,8192,1024,1536,10,20,32,1,1,0,3,2,136.503597515,3.218727013,139.722324528,0.499999642,256,32,32
